Processing Method,Classifier,Dataset,Overall accuracy,Sensitivity,Specificity,Average accuracy per fold,Patients correct ratio,Channels,Hyperparameters,Notes,Details
PCA + Bandpower,Linear SVM,PP/PNP-RH,0.487,0.5284090909090909,0.4406779661016949,0.46890418336052986,0.47368421052631576,"['CP3', 'C2']",0.5,"{""pca_components"": 3}",
PCA + Bandpower,Linear SVM,PP/PNP-RH,0.606,0.6420454545454546,0.565677966101695,0.5883386006556462,0.5789473684210527,"['CP3', 'C3']",0.5,"{""pca_components"": 3}",
PCA + Bandpower,Linear SVM,PP/PNP-RH,0.624,0.6458333333333334,0.5995762711864406,0.6025003105012586,0.631578947368421,"['CP3', 'C4']",0.5,"{""pca_components"": 3}",
PCA + Bandpower,Linear SVM,PP/PNP-RH,0.582,0.6382575757575758,0.5190677966101694,0.5632376829360596,0.5263157894736842,"['CP3', 'C5']",0.5,"{""pca_components"": 3}",
PCA + Bandpower,Linear SVM,PP/PNP-RH,0.614,0.5965909090909091,0.6334745762711864,0.5919028562701745,0.5789473684210527,"['CP3', 'C6']",0.5,"{""pca_components"": 3}",
PCA + Bandpower,Linear SVM,PP/PNP-RH,0.471,0.5189393939393939,0.4173728813559322,0.4519262915424003,0.47368421052631576,"['CP3', 'FCz']",0.5,"{""pca_components"": 3}",
PCA + Bandpower,Linear SVM,PP/PNP-RH,0.518,0.5492424242424242,0.4830508474576271,0.5030003496691267,0.47368421052631576,"['CP3', 'FC1']",0.5,"{""pca_components"": 3}",
PCA + Bandpower,Linear SVM,PP/PNP-RH,0.46,0.5321969696969697,0.3792372881355932,0.44215265214774147,0.47368421052631576,"['CP3', 'FC2']",0.5,"{""pca_components"": 3}",
PCA + Bandpower,Linear SVM,PP/PNP-RH,0.548,0.5606060606060606,0.5338983050847458,0.5324272685590113,0.47368421052631576,"['CP3', 'FC3']",0.5,"{""pca_components"": 3}",
PCA + Bandpower,Linear SVM,PP/PNP-RH,0.46,0.509469696969697,0.4046610169491525,0.44248013333069364,0.42105263157894735,"['CP3', 'FC4']",0.5,"{""pca_components"": 3}",
PCA + Bandpower,Linear SVM,PP/PNP-RH,0.554,0.5890151515151515,0.5148305084745762,0.5353781704394119,0.47368421052631576,"['CP3', 'FC5']",0.5,"{""pca_components"": 3}",
PCA + Bandpower,Linear SVM,PP/PNP-RH,0.488,0.5227272727272727,0.4491525423728814,0.467803019458943,0.47368421052631576,"['CP3', 'FC6']",0.5,"{""pca_components"": 3}",
PCA + Bandpower,Linear SVM,PP/PNP-RH,0.598,0.6723484848484849,0.5148305084745762,0.5770513766980849,0.5789473684210527,"['CP3', 'CPz']",0.5,"{""pca_components"": 3}",
PCA + Bandpower,Linear SVM,PP/PNP-RH,0.593,0.6571969696969697,0.5211864406779662,0.5738880221089842,0.5789473684210527,"['CP3', 'CP1']",0.5,"{""pca_components"": 3}",
PCA + Bandpower,Linear SVM,PP/PNP-RH,0.568,0.6382575757575758,0.4894067796610169,0.5488415826124511,0.5263157894736842,"['CP3', 'CP2']",0.5,"{""pca_components"": 3}",
PCA + Bandpower,Linear SVM,PP/PNP-RH,0.561,0.6022727272727273,0.5148305084745762,0.54219656745689,0.5263157894736842,"['CP3', 'CP4']",0.5,"{""pca_components"": 3}",
