Processing Method,Classifier,Dataset,Overall accuracy,Sensitivity,Specificity,Average accuracy per fold,Patients correct ratio,Channels,Hyperparameters,Notes,Details
HFD,Linear SVM,PP/PNP-LH,0.536318408,0.558095238,0.5125,0.537631702,0.578947368,"['F3', 'FC3']",0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-LH,0.498507463,0.365714286,0.64375,0.512248892,0.526315789,"['F3', 'FC4']",0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-LH,0.475621891,0.573333333,0.36875,0.482880816,0.421052632,"['F3', 'FC5']",0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-LH,0.455721393,0.39047619,0.527083333,0.459001719,0.421052632,"['F3', 'FC6']",0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-LH,0.495522388,0.460952381,0.533333333,0.486688457,0.473684211,"['F3', 'FT7']",0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-LH,0.606965174,0.512380952,0.710416667,0.60998105,0.578947368,"['F3', 'FT8']",0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-LH,0.496517413,0.6,0.383333333,0.513704481,0.368421053,"['F3', 'CPz']",0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-LH,0.536318408,0.561904762,0.508333333,0.521778136,0.473684211,"['F3', 'CP1']",0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-LH,0.509452736,0.537142857,0.479166667,0.515200244,0.526315789,"['F3', 'CP2']",0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-LH,0.511442786,0.268571429,0.777083333,0.504529406,0.473684211,"['F3', 'CP3']",0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
